recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
1.0,0.401152494971,0.025,0,0.000230598861173,0.17899408284,0.00128830438143,1.0,0.17899408284
1.0,0.432545407184,0.025,1,3.36506679914e-05,0.17899408284,0.000187998773241,1.0,0.17899408284
1.0,0.432876907032,0.025,2,3.24745026502e-05,0.17899408284,0.00018142779993,1.0,0.17899408284
1.0,0.433018977846,0.025,3,3.20574438388e-05,0.17899408284,0.000179097785413,1.0,0.17899408284
1.0,0.433139577708,0.025,4,3.17366900845e-05,0.17899408284,0.000177305805761,1.0,0.17899408284
1.0,0.43317386411,0.025,5,3.1648033776e-05,0.17899408284,0.000176810502749,1.0,0.17899408284
1.0,0.433197224267,0.025,6,3.158904665e-05,0.17899408284,0.000176480954838,1.0,0.17899408284
1.0,0.433211680346,0.025,7,3.15547858764e-05,0.17899408284,0.000176289547541,1.0,0.17899408284
1.0,0.433220753751,0.025,8,3.15301223555e-05,0.17899408284,0.000176151757953,1.0,0.17899408284
1.0,0.433222536629,0.025,9,3.15251747033e-05,0.17899408284,0.000176124116524,1.0,0.17899408284
