recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
1.0,0.40107168364,0.025,0,0.000172739439324,0.17899408284,0.00096505670234,1.0,0.17899408284
1.0,0.400872244612,0.025,1,0.000135175708131,0.17899408284,0.000755196518152,1.0,0.17899408284
1.0,0.400723755096,0.025,2,0.000107810025196,0.17899408284,0.000602310553987,1.0,0.17899408284
1.0,0.400665084468,0.025,3,0.00016555398414,0.181656804734,0.000909873929094,0.999704142012,0.181952662722
1.0,0.400651346385,0.025,4,0.00015740801237,0.181656804734,0.000865104198067,0.999704142012,0.181952662722
1.0,0.400646550889,0.025,5,0.000154136119894,0.181656804734,0.000847122089823,0.999704142012,0.181952662722
1.0,0.400639349138,0.025,6,0.000152859261514,0.181656804734,0.000840104559213,0.999704142012,0.181952662722
1.0,0.400626326465,0.025,7,0.000152236576978,0.181656804734,0.000836682325506,0.999704142012,0.181952662722
1.0,0.400621804139,0.025,8,0.000151768290998,0.181656804734,0.000834108656215,0.999704142012,0.181952662722
1.0,0.400604688285,0.025,9,0.000150849196221,0.181656804734,0.0008290573711,0.999704142012,0.181952662722
