recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.472070098576,0.372771074534,0.1,0,0.0526302195889,0.304333333333,0.212504251368,0.735333333333,0.247666666667
0.701689933872,0.369760275594,0.1,1,0.0808691608803,0.453666666667,0.186764805728,0.75,0.433
0.833669354839,0.282643209307,0.1,2,0.106930094309,0.661333333333,0.157327259895,0.761666666667,0.679666666667
0.902234636871,0.246969768929,0.1,3,0.126371673183,0.716,0.159829266251,0.785333333333,0.790666666667
0.887193712436,0.255594920238,0.1,4,0.136280273091,0.721,0.174123006505,0.775666666667,0.782666666667
0.864714086471,0.26173502598,0.1,5,0.126252165942,0.717,0.16841107062,0.773333333333,0.749666666667
0.879608026132,0.273361271731,0.1,6,0.147176369013,0.714333333333,0.190396337662,0.769333333333,0.773
0.894297635605,0.263310713737,0.1,7,0.145198767545,0.719,0.183408969531,0.775333333333,0.791666666667
0.87575336115,0.260399808414,0.1,8,0.133364931474,0.719,0.173727657152,0.772666666667,0.767666666667
0.868738404453,0.260922195236,0.1,9,0.128279067068,0.718666666667,0.169606523228,0.773666666667,0.756333333333
0.884205650764,0.260331748889,0.05,10,0.138192539949,0.719666666667,0.177245669023,0.773333333333,0.779666666667
0.872103799815,0.260203707105,0.05,11,0.132144210756,0.719333333333,0.172888195494,0.771,0.764333333333
0.876216968011,0.260034235355,0.05,12,0.133767272771,0.719,0.173949639494,0.772,0.769
0.873493975904,0.259870015512,0.05,13,0.133098854556,0.719333333333,0.173682715819,0.771,0.766333333333
0.86762656758,0.258382046598,0.05,14,0.130019589101,0.717666666667,0.171228607245,0.768333333333,0.759333333333
0.873552570635,0.2598774084,0.05,15,0.135678817146,0.719666666667,0.176358947764,0.768333333333,0.769333333333
0.878871937124,0.256839825965,0.05,16,0.135650184323,0.721,0.175032495901,0.771333333333,0.775
0.879668049792,0.256676549738,0.05,17,0.139572353249,0.723,0.178633557913,0.767666666667,0.781333333333
0.866079703429,0.256941576005,0.05,18,0.130454692694,0.719333333333,0.171650911439,0.766666666667,0.76
0.879222582138,0.255609929971,0.05,19,0.134927835376,0.720333333333,0.173876076516,0.770333333333,0.776
0.876623376623,0.257246267303,0.025,20,0.133458352805,0.718666666667,0.173172603121,0.770666666667,0.770666666667
0.880333951762,0.256878868132,0.025,21,0.134835349187,0.718666666667,0.173906297318,0.771333333333,0.775333333333
0.87656612529,0.25660219472,0.025,22,0.133318745463,0.718333333333,0.17284193448,0.769666666667,0.771333333333
0.885382830626,0.257053431849,0.025,23,0.138550353966,0.718333333333,0.176948089356,0.770666666667,0.783
0.881670533643,0.257144156397,0.025,24,0.136833776434,0.718333333333,0.175803567153,0.77,0.778333333333
0.895591647332,0.257328608844,0.025,25,0.144457484533,0.718333333333,0.181327386443,0.771666666667,0.796666666667
0.879294336119,0.257495993062,0.025,26,0.134754570264,0.718,0.174101511969,0.770666666667,0.774
0.878365831012,0.257123939826,0.025,27,0.134965737702,0.718,0.174374338116,0.769333333333,0.774
0.882079851439,0.256742095967,0.025,28,0.136153310265,0.718,0.174929306551,0.770333333333,0.778333333333
0.874593590339,0.257684204885,0.025,29,0.131096044993,0.717666666667,0.171069219217,0.771333333333,0.766333333333
0.0,0.256840012394,0.0125,30,0.0,0.00233333333333,0.0,0.997666666667,0.0
0.0,0.272064087397,0.0125,31,0.0,0.0,0.0,1.0,0.0
