recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.735213830755,0.320701415438,0.1,0,0.0861777398855,0.366333333333,0.210703520502,0.763333333333,0.409
0.865337870685,0.268348395333,0.1,1,0.162745608902,0.685666666667,0.207671980734,0.717333333333,0.783666666667
0.891658676894,0.262593240715,0.1,2,0.175613408782,0.695333333333,0.213209318635,0.721,0.823666666667
0.907957813998,0.268730641317,0.1,3,0.196723898538,0.695333333333,0.230445800708,0.713666666667,0.853666666667
0.928366762178,0.260827792111,0.1,4,0.209787636558,0.698,0.235540011105,0.707333333333,0.890666666667
0.917300380228,0.259877373482,0.1,5,0.201130662151,0.701333333333,0.230126615733,0.711333333333,0.874
0.911654135338,0.258628015004,0.1,6,0.195939621037,0.709333333333,0.226607117622,0.719333333333,0.864666666667
0.936941176471,0.250746836059,0.1,7,0.205962416318,0.708333333333,0.228086839776,0.716,0.903
0.93105065666,0.251789568434,0.1,8,0.199037826539,0.710666666667,0.223554279152,0.722333333333,0.890333333333
0.937763219466,0.252935858029,0.1,9,0.206161173724,0.712333333333,0.228813733323,0.722666666667,0.901
0.913167938931,0.252108723321,0.05,10,0.188395415518,0.698666666667,0.21838726683,0.714666666667,0.862666666667
0.921212121212,0.244422541829,0.05,11,0.188215338806,0.715,0.214775966686,0.726,0.876333333333
