recall_of_C,mean_relative_error_of_A,eb_now,iteration,mean_relative_error_overall,invocation_truly,mean_relative_error_of_A_with_C,accuracy_of_C,invocation_of_C
0.775569558895,0.861740607024,0.1,0,0.00504221694604,0.0687666666667,0.076746072238,0.9722,0.0657
0.748486259897,0.849446361202,0.1,1,0.00399638060722,0.0715666666667,0.0664955175911,0.975466666667,0.0601
0.827911857293,0.897151071841,0.1,2,0.00349135178453,0.0635333333333,0.060473760702,0.983933333333,0.0577333333333
0.927140255009,0.922407837556,0.1,3,0.0032346045566,0.0549,0.0576921145647,0.990833333333,0.0560666666667
0.922985074627,0.923193954212,0.1,4,0.00390901138407,0.0558333333333,0.0702638355436,0.9916,0.0556333333333
0.948230668414,0.924612657948,0.1,5,0.00449933689686,0.0508666666667,0.0808748393684,0.989966666667,0.0556333333333
0.946684005201,0.926129356631,0.1,6,0.00406392785345,0.0512666666667,0.0714222821344,0.9889,0.0569
0.948422330097,0.925670569544,0.1,7,0.00504323253266,0.0549333333333,0.0830389549835,0.988533333333,0.0607333333333
0.92402717727,0.925368902647,0.1,8,0.00311996324384,0.0539666666667,0.0575285170961,0.991533333333,0.0542333333333
0.94210889042,0.929187357777,0.1,9,0.00422272034014,0.0483666666667,0.0805350350948,0.990333333333,0.0524333333333
0.931594202898,0.928530058001,0.2,10,0.00533557938334,0.0575,0.0899760435639,0.990333333333,0.0593
0.923199152542,0.92561502454,0.2,11,0.00587927209086,0.0629333333333,0.0911986363629,0.9888,0.0644666666667
0.897246804326,0.920891135998,0.2,12,0.006624719871,0.0678,0.102180769218,0.989033333333,0.0648333333333
0.912850812408,0.918947802209,0.2,13,0.00464336927687,0.0677,0.0702476441282,0.9898,0.0661
0.909722222222,0.915726698468,0.2,14,0.0044360528313,0.0672,0.0685634131576,0.990366666667,0.0647
0.898829039813,0.915414010323,0.2,15,0.00659879017767,0.0711666666667,0.0972316823822,0.9889,0.0678666666667
0.85250338295,0.907099114471,0.2,16,0.00395191530467,0.0739,0.0601814513402,0.986433333333,0.0656666666667
0.848826714801,0.910398451485,0.2,17,0.00486217486837,0.0738666666667,0.0737811057416,0.985633333333,0.0659
0.858024691358,0.910845645223,0.2,18,0.00903585908975,0.0756,0.127027072489,0.983,0.0711333333333
0.841788478074,0.903724794554,0.2,19,0.00542172765862,0.0775333333333,0.0761478603738,0.9818,0.0712
0.793606945541,0.906606005059,0.3,20,0.00491490606634,0.0844666666667,0.0706841716157,0.980066666667,0.0695333333333
0.763950073421,0.899878130985,0.3,21,0.00903318255755,0.0908,0.119014262945,0.972033333333,0.0759
0.792174234035,0.900601940618,0.3,22,0.00943748126236,0.0903,0.12022269124,0.974266666667,0.0785
0.794977511244,0.900908377727,0.3,23,0.00724123983203,0.0889333333333,0.0959528246294,0.977,0.0754666666667
0.822852760736,0.901493630971,0.3,24,0.00899880602802,0.0869333333333,0.11405330834,0.977233333333,0.0789
0.809707241911,0.9014306434,0.3,25,0.00733650800373,0.0865333333333,0.0976032106927,0.978433333333,0.0751666666667
0.832937450515,0.905016822136,0.3,26,0.00953930295205,0.0842,0.124588197023,0.9795,0.0765666666667
0.837016574586,0.90497119967,0.3,27,0.00696788646219,0.0844666666667,0.0920866052272,0.981266666667,0.0756666666667
0.814957594449,0.900094001356,0.3,28,0.00745128294949,0.0864666666667,0.0978286601684,0.9783,0.0761666666667
0.782069970845,0.89443318579,0.3,29,0.0076441639641,0.0914666666667,0.101381484935,0.9762,0.0754
0.713877421404,0.889890459948,0.4,30,0.013057057458,0.104966666667,0.157693930652,0.9621,0.0828
0.804054054054,0.896480245992,0.4,31,0.0131284087382,0.0986666666667,0.148399495911,0.971533333333,0.0884666666667
0.737519623234,0.890331658659,0.4,32,0.0135035116499,0.106166666667,0.155989737966,0.963866666667,0.0865666666667
0.802368866328,0.898428253207,0.4,33,0.0134317722523,0.0985,0.153330733474,0.971966666667,0.0876
0.819777252784,0.895835616125,0.4,34,0.0140462487335,0.0987666666667,0.154354381687,0.972166666667,0.091
0.849242691088,0.90050597592,0.4,35,0.0189590320836,0.0946333333333,0.202915077599,0.972666666667,0.0934333333333
0.834620786517,0.900183669719,0.4,36,0.0194445705091,0.0949333333333,0.208558139175,0.9703,0.0932333333333
0.688869665513,0.874898974469,0.4,37,0.0148393490845,0.1156,0.165864557576,0.9542,0.0894666666667
0.811516571811,0.89607333151,0.4,38,0.0145097353383,0.0995666666667,0.160210548454,0.971466666667,0.0905666666667
0.790653008963,0.887789466775,0.4,39,0.0159354811087,0.104133333333,0.173463147047,0.968666666667,0.0918666666667
0.748877581562,0.896241309469,0.5,40,0.0174213250908,0.111366666667,0.188474487098,0.963,0.0924333333333
0.802892172273,0.89877628077,0.5,41,0.01933878696,0.106033333333,0.198075660226,0.9666,0.0976333333333
0.80613192939,0.897234545754,0.5,42,0.016404643157,0.107633333333,0.168022975319,0.968266666667,0.0976333333333
0.807860262009,0.898699789608,0.5,43,0.0182024798373,0.106866666667,0.186692100895,0.9683,0.0975
0.809625342674,0.896201147246,0.5,44,0.0190248454583,0.109433333333,0.189176454673,0.9672,0.100566666667
0.768068720379,0.894632839477,0.5,45,0.0192756475512,0.112533333333,0.197496388844,0.962733333333,0.0976
0.783394607843,0.896359419598,0.5,46,0.0172948377787,0.1088,0.178788812323,0.964933333333,0.0967333333333
