recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.922695527003,0.234140963331,0.625233333333,0.0360891606645,0,0.923533333333,0.605033333333
0.971488289833,0.267951187808,0.621966666667,0.0282743364467,1,0.966933333333,0.619566666667
0.968504360935,0.287117256393,0.619133333333,0.0284613583756,2,0.957466666667,0.622666666667
0.979664939932,0.299809461255,0.604866666667,0.025994231381,3,0.9677,0.612566666667
0.989946380697,0.305538075136,0.5968,0.0225995446881,4,0.983866666667,0.600933333333
0.977770330652,0.307629487431,0.5968,0.0213417792837,5,0.9807,0.589566666667
0.984923214886,0.308263152511,0.594733333333,0.0217868272655,6,0.985066666667,0.591733333333
0.991656933089,0.306943079115,0.5993,0.0254862252153,7,0.984733333333,0.604566666667
