recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.997201865423,0.428189006359,0.250166666667,0.0479590503514,0,0.998366666667,0.2504
0.971040189125,0.437789622415,0.282,0.0456104675098,1,0.9899,0.275766666667
0.98252124985,0.44503804332,0.278433333333,0.0462014831103,2,0.989266666667,0.279433333333
0.978756414847,0.449720013002,0.2793,0.0514012346384,3,0.988666666667,0.278766666667
0.992831119991,0.448161114484,0.283633333333,0.0436410105513,4,0.9972,0.282366666667
0.971130986075,0.439396158748,0.294433333333,0.0403429601146,5,0.9893,0.288133333333
0.974398587508,0.437150002553,0.302066666667,0.0425760678479,6,0.988966666667,0.297633333333
0.978444444444,0.436620058641,0.3,0.0426854025065,7,0.990166666667,0.2969
