recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.993292290729,0.180614736603,0.725533333333,0.0252295100179,0,0.994266666667,0.721533333333
0.99576133029,0.1893746659,0.715633333333,0.0239068635488,1,0.991833333333,0.717733333333
0.997747113489,0.196599939759,0.7102,0.0209924206597,2,0.9949,0.7121
0.995212103802,0.202498370728,0.6962,0.0188521650205,3,0.987833333333,0.7017
0.99847350093,0.207602300287,0.698766666667,0.0205955281054,4,0.9904,0.706233333333
1.0,0.21058029487,0.690666666667,0.0184086656033,5,0.990266666667,0.7004
1.0,0.214666869957,0.687866666667,0.0185207958436,6,0.990266666667,0.6976
0.998451712793,0.214520355656,0.688933333333,0.0184788608966,7,0.9892,0.6976
