recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.940933924338,0.211071099322,0.646733333333,0.0500236705061,0,0.886966666667,0.683366666667
0.880657127716,0.234796456661,0.629,0.0482582273065,1,0.862866666667,0.616
0.923747036445,0.29367022921,0.604566666667,0.0417311787618,2,0.9066,0.605766666667
0.891840607211,0.318525670897,0.5797,0.0472988509448,3,0.896266666667,0.558033333333
0.909461426492,0.328780810395,0.5725,0.0484026445039,4,0.889866666667,0.578966666667
0.928148278491,0.330750730383,0.5683,0.0464295103186,5,0.899366666667,0.587266666667
0.950624523544,0.335483775742,0.568433333333,0.0510589190047,6,0.910266666667,0.602033333333
0.92304970812,0.339919310645,0.5653,0.0477316148062,7,0.903766666667,0.574533333333
