recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.998502178649,0.187011342339,0.7344,0.0268657181148,0,0.9989,0.7333
0.998444350163,0.20010647185,0.7071,0.0236154371329,1,0.990566666667,0.714333333333
0.998515396772,0.204114894394,0.696033333333,0.0217968579956,2,0.9925,0.701466666667
0.987421078193,0.211914101455,0.686333333333,0.0232930939375,3,0.989166666667,0.6799
0.984783246893,0.210115280768,0.681266666667,0.0169728779112,4,0.9857,0.674833333333
0.993980915097,0.212588540371,0.681166666667,0.0157867707543,5,0.994733333333,0.678233333333
0.990803601521,0.207894173354,0.6923,0.0160145234539,6,0.9913,0.688266666667
0.984752891693,0.210525624576,0.6974,0.0177676377396,7,0.987033333333,0.6891
