recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.943843538917,0.167030435351,0.755033333333,0.040012601716,0,0.9045,0.765733333333
0.933549286903,0.169048445982,0.7409,0.0375975746141,1,0.892766666667,0.749666666667
0.93616734143,0.178141777012,0.741,0.0431901203387,2,0.892533333333,0.753866666667
0.958635703919,0.181848008298,0.734933333333,0.0370681554315,3,0.916133333333,0.758
0.969075461356,0.17697186361,0.729733333333,0.0286606371319,4,0.9344,0.7502
0.958293838863,0.179497536018,0.7385,0.0280079895226,5,0.927866666667,0.749033333333
0.971396192203,0.180817439975,0.735333333333,0.0281391771272,6,0.9368,0.756466666667
