recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.926934223237,0.159038803791,0.759133333333,0.119762115947,0,0.769366666667,0.878833333333
0.899769637292,0.173032245549,0.737966666667,0.114642781598,1,0.770833333333,0.8192
0.895813226711,0.187479031308,0.7253,0.113512466261,2,0.7839,0.790266666667
0.893587735536,0.196710284469,0.7023,0.0921032007107,3,0.815566666667,0.737266666667
0.89538287225,0.192539949412,0.706066666667,0.089686098296,4,0.8211,0.737233333333
0.893959352653,0.202411385962,0.708533333333,0.108940692821,5,0.807466666667,0.7508
0.880196291228,0.192249518734,0.706433333333,0.0984593302774,6,0.7989,0.738266666667
