recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.982200573588,0.177305167078,0.732233333333,0.0286412426755,0,0.9738,0.732366666667
0.985238507449,0.181692824139,0.731633333333,0.0238112001121,1,0.976,0.734033333333
0.980394857668,0.187836158214,0.726,0.0227544685381,2,0.976833333333,0.7207
0.977150786309,0.19084324145,0.720666666667,0.0212979331697,3,0.976133333333,0.7116
0.975680933852,0.189466051336,0.7196,0.0215150391272,4,0.968,0.7166
0.977352886579,0.193814567133,0.718266666667,0.0231654249667,5,0.972533333333,0.7132
0.982764960015,0.191671035006,0.725266666667,0.020852980983,6,0.973533333333,0.726733333333
