recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.551162963513,0.282957632476,0.448566666667,0.0688427996192,0,0.731233333333,0.314666666667
0.694828550875,0.320889523135,0.417033333333,0.0624360788587,1,0.823,0.3395
0.731713447842,0.33432593806,0.397833333333,0.0641302364104,2,0.834966666667,0.3494
0.76970633694,0.356006412989,0.431333333333,0.109842309927,3,0.820933333333,0.411733333333
0.697602064046,0.350373678959,0.439266666667,0.0883104894344,4,0.812766666667,0.360833333333
0.684549833272,0.33968085278,0.449833333333,0.0768512955811,5,0.805233333333,0.3608
0.693344449076,0.336742084528,0.4798,0.0884874132572,6,0.7959,0.389633333333
0.735750931197,0.336412902344,0.4743,0.101268707948,7,0.8033,0.420333333333
