recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
1.0,0.171081377827,0.742466666667,0.0269121269907,0,1.0,0.742466666667
0.997231322966,0.179862512334,0.722366666667,0.0241850227854,1,0.989266666667,0.7291
1.0,0.192003760139,0.7073,0.0252107303802,2,0.989566666667,0.717733333333
0.99677915585,0.199478986349,0.6934,0.024695943455,3,0.983533333333,0.7054
0.997056514914,0.209733719856,0.679466666667,0.0266876925887,4,0.979566666667,0.6959
0.995251150494,0.208636445065,0.680866666667,0.0234330233808,5,0.979166666667,0.695233333333
0.99521884858,0.208911339969,0.676266666667,0.0240982059706,6,0.9748,0.695
0.99568288854,0.210670537659,0.679466666667,0.0236882212236,7,0.9807,0.6929
