recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.993393586273,0.184674065933,0.726566666667,0.0401681551506,0,0.9649,0.752066666667
0.988851095994,0.195858948813,0.7056,0.0290796680578,1,0.9789,0.710966666667
0.982037914692,0.200466339503,0.703333333333,0.025109331067,2,0.966933333333,0.711133333333
0.980791175352,0.209263435994,0.701066666667,0.021980589276,3,0.969,0.705133333333
0.979258979919,0.209952649091,0.707133333333,0.0214748087843,4,0.969833333333,0.707966666667
0.973887631976,0.209538709832,0.7072,0.0200211308683,5,0.9669,0.703366666667
