recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.897369848156,0.42166296511,0.245866666667,0.0501287780053,0,0.959766666667,0.235633333333
0.954324931961,0.443763314394,0.2817,0.053092319535,1,0.968433333333,0.287533333333
0.96658186864,0.443402704721,0.288266666667,0.0496914283207,2,0.9712,0.2978
0.957388939257,0.44818386044,0.294133333333,0.0523606524491,3,0.961166666667,0.3079
0.928647623563,0.458570349099,0.281233333333,0.0521416556082,4,0.957933333333,0.283166666667
0.924768657613,0.459686864074,0.277366666667,0.0523532533333,5,0.954133333333,0.2815
0.931747269891,0.471294139886,0.2564,0.0547616277845,6,0.9582,0.2632
0.885788894997,0.478659628205,0.242533333333,0.0450364909066,7,0.957433333333,0.2297
