recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.865415471386,0.195276228495,0.685566666667,0.137510937959,0,0.6992,0.801833333333
0.851952950519,0.220703770771,0.671633333333,0.141829580647,1,0.7153,0.757466666667
0.827008636483,0.230286758881,0.636833333333,0.138927874626,2,0.717933333333,0.698566666667
0.829919062238,0.251589794859,0.597166666667,0.11710681452,3,0.764133333333,0.6299
0.842067400808,0.257021248162,0.602366666667,0.106215646485,4,0.7925,0.6196
0.849336029291,0.260656773837,0.609966666667,0.111362312458,5,0.796766666667,0.6294
0.861238215999,0.264980284277,0.604633333333,0.104093203127,6,0.8177,0.619133333333
0.846468949697,0.266268871255,0.6103,0.114436503957,7,0.800033333333,0.622866666667
