recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.90731042399,0.280841703447,0.464633333333,0.052591825949,0,0.909466666667,0.469033333333
0.818996565877,0.304264255104,0.397966666667,0.0553034474509,1,0.896566666667,0.357333333333
0.881824572366,0.318343088793,0.426766666667,0.0450329171888,2,0.921133333333,0.404766666667
0.896505476492,0.32558673727,0.447366666667,0.0433531339042,3,0.924566666667,0.4302
0.912331969608,0.341335259262,0.456266666667,0.0450526400661,4,0.935266666667,0.441
0.892209737828,0.350656551558,0.445,0.0396221896113,5,0.9267,0.422366666667
0.935307931217,0.360170699078,0.440033333333,0.0362867475188,6,0.949533333333,0.433566666667
0.918835796264,0.357454098687,0.444366666667,0.0338058079555,7,0.944166666667,0.428066666667
