recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.914326414326,0.27931723049,0.4914,0.0560944732606,0,0.9211,0.4861
0.878158109209,0.28945289071,0.4908,0.0495782523447,1,0.905066666667,0.466133333333
0.923557980174,0.297288211352,0.501033333333,0.0436199226461,2,0.9272,0.497233333333
0.92518468771,0.299571840373,0.496333333333,0.0420012195287,3,0.922166666667,0.4999
0.931705298013,0.304637153984,0.4832,0.0365019055924,4,0.9358,0.4814
0.938324786325,0.31031817578,0.4875,0.0337399072162,5,0.9457,0.481666666667
0.91364548495,0.313679475385,0.498333333333,0.0331844106589,6,0.933433333333,0.478833333333
0.924340979117,0.320657902281,0.486833333333,0.0312405916454,7,0.941666666667,0.4715
