recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.992158619917,0.241281228962,0.595133333333,0.0343720673856,0,0.995333333333,0.590466666667
0.983204062273,0.255634054081,0.597366666667,0.0268757171285,1,0.986766666667,0.590533333333
0.955438191121,0.265664662621,0.6059,0.0258495399113,2,0.9647,0.5872
0.980354769746,0.278573716285,0.5769,0.0232267016633,3,0.979166666667,0.575066666667
0.976959566298,0.295433226572,0.590266666667,0.0232459318458,4,0.980066666667,0.583
0.97811828565,0.317076587389,0.589533333333,0.0322438266865,5,0.975033333333,0.5887
0.980749574106,0.315565878327,0.587,0.0350145459215,6,0.972233333333,0.592166666667
0.990971551871,0.311497154346,0.587033333333,0.0302769712373,7,0.9845,0.591933333333
