recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.972050136868,0.426187894725,0.231366666667,0.0505641936242,0,0.988666666667,0.229766666667
0.958440813987,0.443391297112,0.2326,0.0508993555791,1,0.982466666667,0.2308
0.948780191771,0.412262316291,0.274633333333,0.0463251313974,2,0.9771,0.2694
0.941602535084,0.400257707459,0.294533333333,0.047903190012,3,0.967466666667,0.292666666667
0.910979228487,0.401790851862,0.3033,0.0477905246565,4,0.954266666667,0.295033333333
0.870382372003,0.419159877609,0.3086,0.0430604275008,5,0.942666666667,0.285933333333
0.797372356334,0.410451309386,0.312066666667,0.037990556551,6,0.936766666667,0.248833333333
0.800884955752,0.389739694896,0.308866666667,0.0399025882193,7,0.9337,0.252166666667
