recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.863527214514,0.421766357837,0.249866666667,0.0559094918118,0,0.9514,0.230266666667
0.91587972167,0.430139231411,0.268266666667,0.0473901466891,1,0.962133333333,0.261
0.941213102503,0.440203331565,0.267633333333,0.0451306306546,2,0.9743,0.261866666667
0.90966756725,0.434221638289,0.283766666667,0.0458028594658,3,0.961033333333,0.271466666667
0.884083044983,0.429119688694,0.289,0.0442600921771,4,0.9565,0.2655
0.886330935252,0.433604455419,0.278,0.0456758506785,5,0.9568,0.258
0.872225025227,0.444010298159,0.264266666667,0.0481811853732,6,0.947366666667,0.249366666667
0.849087271818,0.443014219202,0.2666,0.0406561108238,7,0.9514,0.234733333333
