recall_of_C,mean_relative_error_of_A,invocation_truly,mean_relative_error_of_A_with_C,iteration,accuracy_of_C,invocation_of_C
0.95216542421,0.18417139219,0.7512,0.0439167182661,0,0.911533333333,0.7678
0.95450470641,0.184140192439,0.743666666667,0.038971821716,1,0.918666666667,0.757333333333
0.949090745409,0.186639232269,0.740533333333,0.0411720421455,2,0.9107,0.754433333333
0.950490061372,0.190653476717,0.7278,0.0386227537805,3,0.917766666667,0.737966666667
0.946835908756,0.192396326663,0.7248,0.0367569115252,4,0.918033333333,0.7297
0.946215419183,0.199361542164,0.7121,0.0366340286233,5,0.914433333333,0.721066666667
0.951849926759,0.203486711224,0.705433333333,0.0378210971693,6,0.911,0.7265
